review,sentiment
Everything about this film was terrible. To start with this film had a pretty good cast and I find it impossible to make such a great cast into the biggest disaster to the gangster film genre ever. The sound track was like one of a very bad slap stick comedy. It had this music through the whole film and it started to get quite irritating.<br /><br />PLEASE PLEASE PLEASE PLEASE PLEASE DO NOT INFLICT YOURSELF WITH THIS DISASTER YOU WILL ONLY BE HURT,negative
"Okay, you have:<br /><br />Penelope Keith as Miss Herringbone-Tweed, B.B.E. (Backbone of England.) She's killed off in the first scene - that's right, folks; this show has no backbone!<br /><br />Peter O'Toole as Ol' Colonel Cricket from The First War and now the emblazered Lord of the Manor.<br /><br />Joanna Lumley as the ensweatered Lady of the Manor, 20 years younger than the colonel and 20 years past her own prime but still glamourous (Brit spelling, not mine) enough to have a toy-boy on the side. It's alright, they have Col. Cricket's full knowledge and consent (they guy even comes 'round for Christmas!) Still, she's considerate of the colonel enough to have said toy-boy her own age (what a gal!)<br /><br />David McCallum as said toy-boy, equally as pointlessly glamourous as his squeeze. Pilcher couldn't come up with any cover for him within the story, so she gave him a hush-hush job at the Circus.<br /><br />and finally:<br /><br />Susan Hampshire as Miss Polonia Teacups, Venerable Headmistress of the Venerable Girls' Boarding-School, serving tea in her office with a dash of deep, poignant advice for life in the outside world just before graduation. Her best bit of advice: ""I've only been to Nancherrow (the local Stately Home of England) once. I thought it was very beautiful but, somehow, not part of the real world."" Well, we can't say they didn't warn us.<br /><br />Ah, Susan - time was, your character would have been running the whole show. They don't write 'em like that any more. Our loss, not yours.<br /><br />So - with a cast and setting like this, you have the re-makings of ""Brideshead Revisited,"" right?<br /><br />Wrong! They took these 1-dimensional supporting roles because they paid so well. After all, acting is one of the oldest temp-jobs there is (YOU name another!)<br /><br />First warning sign: lots and lots of backlighting. They get around it by shooting outdoors - ""hey, it's just the sunlight!""<br /><br />Second warning sign: Leading Lady cries a lot. When not crying, her eyes are moist. That's the law of romance novels: Leading Lady is ""dewy-eyed.""<br /><br />Henceforth, Leading Lady shall be known as L.L.<br /><br />Third warning sign: L.L. actually has stars in her eyes when she's in love. Still, I'll give Emily Mortimer an award just for having to act with that spotlight in her eyes (I wonder . did they use contacts?)<br /><br />And lastly, fourth warning sign: no on-screen female character is ""Mrs."" She's either ""Miss"" or ""Lady.""<br /><br />When all was said and done, I still couldn't tell you who was pursuing whom and why. I couldn't even tell you what was said and done.<br /><br />To sum up: they all live through World War II without anything happening to them at all.<br /><br />OK, at the end, L.L. finds she's lost her parents to the Japanese prison camps and baby sis comes home catatonic. Meanwhile (there's always a ""meanwhile,"") some young guy L.L. had a crush on (when, I don't know) comes home from some wartime tough spot and is found living on the street by Lady of the Manor (must be some street if SHE's going to find him there.) Both war casualties are whisked away to recover at Nancherrow (SOMEBODY has to be ""whisked away"" SOMEWHERE in these romance stories!)<br /><br />Great drama.",negative
"This is one of those movies I watched, and wondered, why did I watch it? What did I find so interesting about it? Being a truck driver myself, I didn't find it very realistic. No, I've never used a 'lot lizard', nor have I ever seen, nor heard about one traveling around the country in a brand new seventy thousand dollar RV, either.<br /><br />Same thing about a pimp whom has never sampled the lady in question (until the end of the movie, and well, he still really didn't...), and only getting 50 bucks 'a cut', when the prostitute gets $200.00 (well, $150.00 after his cut, yeah...).<br /><br />I still laugh at the lot lizard comment Ivey made (them's Lot Lizards, they'll screw anything with 20 bucks, and some are men dressed as woman... or something equally as weird), meaning, we're better then them, as we may still be prostitutes, but we get paid BETTER.<br /><br />Other then that, it's just a story of a young woman whom wanted something more from life then a dead end job while living at home (she's 18, remember?) and embarrassed by her mother basically doing the same thing (dead end job). At least she had a roof over her head and a job. She turned FIVE tricks on the road... I wonder if the $750.00 she made was worth it? I'd guess not.",negative
"Not all movies should have that predictable ending that we are all so use to, and it's great to see movies with really unusual twists. However with that said, I was really disappointed in l'apartment's ending. In my opinion the ending didn't really fit in with the rest of the movie and it basically destroyed the story that was being told.<br /><br />You spend the whole movie discovering everyone and their feelings but the events in the final 2 minutes of the movie would have impacted majorly on everyones character but the movie ends and leaves it all too wide open.<br /><br />Overall though this movie was very well made, and unlike similar movies such as Serendipity all the scenes were believable and didn't go over the top.",positive
"I just saw this film last night, and I have to say that I loved every minute. If taken in the spirit of a parody of Bond-esquire films, it's truly superior. The true comedy of the film is in its blatant disregard for political correctness. The misogyny, cultural insensitivity, and almost laughable macho-ism of the films of this genre are used for major comic effect. It also calls the illogic and formulaic elements to task, with Agent OSS 117 constantly learning difficult things insanely quick (such as Arabic and how to play a traditional instrument) while missing some pathetically obvious clues. Some of the lines from the film left me laughing for hours after the movie was finished...and I have to say I have learned some...interesting...French vocabulary that would probably have my Professors quite exasperated with me were I to use. All in all, I thought this film excellent. Intensely funny and the first film I've ever seen that truly parodies all aspects of the spy film.",positive
"Well. Where to begin. Let's just say this; avoid this movie at all<br /><br />costs. It's based on a cartoon series. The movie makes the cartoon look<br /><br />like Hamlet. Filled with emasculated actors who seem embarrassed to be<br /><br />here, lousy camera work, terrible music, and enough product placement to<br /><br />make you want to never visit Yahoo! again, this movie is really the<br /><br />bottom of the barrel. To quote the New Yorker, Matthew Broderick and<br /><br />Rupert Everett mug their way through this picture with the gay abandon<br /><br />of men who have spotted a rare species of paycheck in the distance.""<br /><br />They should pay us some of the millions they earned for watching it.<br /><br />Awful.",negative
"I recently stumbled across a TV showing of ""Passion...."" (having missed the opening scenes). Ms Currier in to be praised for having the vision and courage to bring such a strange de Balzac tale to the screen. I am grateful to the entire cast and crew for their parts in producing such a thoroughly fine motion picture. It must have been arduous shooting so many scenes in the desert. And I cannot comprehend how her trainer coaxed such a fine ""performance"" from the leopard, Simoon. (This adverture calls to mind another suspenseful adventure, ""Naked Prey""). Why isn't this film more well-known?. Hope I can find it on video.",positive
"I'm working my way through the Horror Classics 50 Movie Pack Collection and THE MAD MONSTER is one of the movies in the set.<br /><br />I am sure that George Zucco was a good actor; but, this was only the second film in which I saw him, the first being DEAD MEN WALK, in which he played two parts. However, even good acting couldn't save THE MAD MONSTER.<br /><br />Zucco plays a mad scientist, Dr. Cameron (who was banned from academia because of his unethical and inhumane experiments). He believes that he can control evolution by bringing out the characteristics of one animal into another.<br /><br />In this case, like so many others of its ilk, it is a transfusion of (I assume) wolf's blood into humans. His goal is to create an invincible army, which he can control through the antidote. The subject of his experiments is his hired hand, a retarded gardener, whose dialogue slows down this snail-paced classic to almost a full-stop. <br /><br />Beyond his experiments, Dr. Cameron also plots revenge on those who discredited him, using his transformed gardener. However, he loses control of his subject, who begins to transform without the transfusion -- yikes! <br /><br />The werewolf transformations are classic Hollywood stop-action / makeup effects. No doubt these were groundbreaking techniques of the time; but, in today's digital age it's hard to imagine audiences being scared by this.",negative
"This is certainly one of my all time fav episodes of Trek. There is just so much going on in this one film that its crazy cool. First the guys beam down to an alien planet thats about to explode. They meet a freaky librarian type dude (very well played). Then Kirk manages to get himself transported back to what is very much like 16th century earth. McCoy and Spock try to follow but instead nearly freeze to death on the frozen version of the alien world 100,000 years in the past. Kirk manages to get himself locked up and charged with witchcraft while Spock enjoys some amok time with a sexy cavegirl who was vanquished to the this frozen, awful world by some bad guy.<br /><br />Spock decides hes happy where hes at and gives McCoy a royal assestment whuppin' when the doc suggests they need to look for a way out. Anyhow,they all finally escape, leaving the poor cavegirl behind. It takes a ton of convincing before Spock finally gives in and leaves. You can literally taste the sadness at the end. Leaving the cavegirl all alone in her frozen wasteland just seems cruel and is really touching. Spock must have been out of his vulkin' mind to leave behind his greatest hope for love and being human. Albeit, in a not so nice neighborhood!<br /><br />Anyway, you just get so much bang for your buck with this episode....A love story, the Salem witch trials, Spock as a human, the desperation of being left in total isolation...abandoned, and three entirely different settings on the alien planet. Its amazing they managed to jam all this into one fifty minute film. This one is a classic, don't miss it....I want it on DVD fer shure vulcans!!!!!!",positive
"The very first talking picture has returned from oblivion, and now you can hear it and see it! In autumn of 1894, at the Edison lab complex in West Orange, New Jersey, Thomas Edison's associate William Dickson tried to combine two existing technologies (the phonograph and the kinetoscope) to record sound and image together. In the event, Dickson was unable to synchronise the playback of sound and image, so this experimental film was never released to paying audiences ... and consequently (unlike many silent films which Dickson made for Edison at this time) it has no official title. The silent image (recorded at 40 fps) has been in the Library of Congress for years, known to film historians as a mute curiosity. It was also known that the 'soundtrack' had been recorded on one of the crude wax cylinders languishing at the Edison National Historic Site ... although nobody knew which one.<br /><br />But now that's changed. Recently, curators located the wax cylinder, which had broken into several pieces. These were reassembled: a playback was obtained, and the sound was digitised. Hollywood's veteran soundtrack editor Walter Murch cleaned up the background noise and tweaked the digitisation to make it synch with the film image, which Murch had digitally compressed to 30 fps. Sound and image are synchronised at last!<br /><br />The film begins with an offscreen man's voice calling: 'The rest of you fellows ready? Go ahead!' (The unseen speaker remains unidentified, but was probably Dickson's assistant Fred Ott.) On screen, Dickson plays a violin into an immense funnel mounted on a tripod (one of Edison's sound-recording devices) while alongside him, in full view of the camera, two male lab assistants embrace each other for some quick ballroom dancing to the tempo of Dickson's music.<br /><br />The film lasts barely 17 seconds: just long enough for us to marvel at this crude technology before being provoked to laughter at the sight of two men waltzing in each other's arms. Speaking of which, here's a WARNING: a well-known but extremely inaccurate reference book ('The Celluloid Closet', by the late Vito Russo) includes a frame enlargement from this movie and identifies it as 'The Gay Brothers'. That's incorrect. 'The Gay Brothers' is an entirely different movie, made by Dickson at the Edison lab during this same period. 'The Gay Brothers' never had a soundtrack: it's a brief fiction film about two brothers who are NOT 'gay' in the sense Russo meant it. The deceased Mr Russo, for his own reasons, wanted us to perceive Dickson's experimental sound film (arguably the first movie musical!) as an artefact of 19th-century homoeroticism. (Hmm, what is it about gay men and musicals?) Sorry, but there's just no such content here.<br /><br />This vitally important film deserves a rating of 10 out of 10. I've often maintained that no 'lost' movie should ever be considered irretrievable unless it was deliberately destroyed: I'm delighted to report that this film is finally available to audiences as its producer intended it, more than a century after it was filmed!",positive
"All I can really say is that I'm glad that I was knitting socks while watching the movie, or I would be very angry for having wasted 2 hours of my life. The acting was terrible, the plot was even worse. There were some scenes that were meant to be serious that had my husband and I laughing out loud. I highly recommend this movie to people who like to do their own version of MST3K.",negative
"It's nice to see Julie Andrews trying a straight dramatic role here--something she hadn't done in awhile--but her character of Judith(wise they didn't try to pass her off as a 'Judy')has the old refined manners and tomboyish hairstyle of yore, and Andrews enacts 'grown-up' as any other actress would interpret frigid. It's a surprisingly bland drama set in Barbados involving Omar Sharif(not the liveliest leading man around--not even in 1974!)hoping to make Andrews a spy while also slowly leading her into the proverbial bedroom. Unmemorable outing does have some camp value: the James Bond-like credits at the beginning are a cheesy hoot. As for Julie: she's quiet and contemplative, but that doesn't do much for the audience, or for the film. Blake Edwards paces the freakin' thing like a funeral. * from ****",negative
I've heard a lot of different opinions about this film and then to find out that Paris Hilton was in it as well didn't give Me the best impression of the film .... then to be dragged to the cinema by a group of my friends and sit there expecting a pile of pants i was shocked to find that i was scared stiff all the way through the film ... it was predictable yes but the build up of the deaths and the whole atmosphere of the film made it REALLY scary for me ... i was watching through my fingers the whole way through. So i say go watch it and decide for yourself and if the fact that its a scary film doesn't convince you to go watch it then it also has Chad Michael Murray in it which can't be bad to watch for a couple of hours eh?,positive
"the film itself is absolutely brilliant, its that buzz, that rush that makes you just want to go out, blow your wages and loose yourself. It's what the weekend is all about, its our sanitation where we can come together as one and be ourselves without a care in the world. The film is layered in depth and the dialogue in places is just spot on, especially with Jip. The characters themselves are instantly likable, one in particular is obviously dyers character and his views on what ""Star Wars"" is really about, genius.<br /><br />If ever you've got an hour to kill before going out, stick on this, you'll immediately feel yourself growing in confidence, definitely recommend it.",positive
"I think One True Thing is one of Meryl Streeps finest movies to date. Her depiction of a dying woman is perfect. I have recently lived this movie, and it touched me on more levels than I could have imagined. Meryl is truely the greatest actress to have ever walked the earth!!!!!",positive
"As Americans, we have come to expect crapiness as ""par for the course"" when it comes to HORROR and unknown directors directing unknown actors acting for unknown writers. We truly expect this to suck & when they don't suck,it becomes an over night success.<br /><br />This is NOT an over night success, nor is it an over the weekend or over the month success. This blows from start to finish and my only recommendation is this: GO INTO THIS KNOWING IT SUCKS, enjoy it for what it is, for what it isn't & if you have something better to do, keep this on the back WAY BACK burner. It's entertaining in the way watching the elderly cross a busy street during rush hour, but don't expect much-they almost never get hit by an actual car, its just a lot of hoopla.",negative
"**** WARNING: here be spoilers **** Why do I waste my hastily fleeing years watching garbage like this? This film is an impressive collection of clichés, poor writing, worse directing, and then we haven't even got to the acting yet. <br /><br />And of course, you can predict the whole story from beginning to end.<br /><br />Hero expert fights against stupid, corrupt and incompetent henchmen. One avalanche goes off, burying all the heroes who somehow manage to get out alive in spite of going through all sorts of cliffhanger perils. Corrupt partner who caused the whole thing gets fried alive together with his payoff money. Second avalanche heroically deflected by renegade expert's adventurous experiment. Evil henchmen in the end turn out to have a heart as well. Troubled teenager falls into the arms of her crusty stepmother after being saved by her. Etc, etc, etc, etc, on and on it goes. <br /><br />In fact, there's little reason to warn for spoilers. You could probably work the whole plot out if I gave you the basic ingredients. At least, I wasn't too wide off the mark most of the time, anticipating what would happen next.<br /><br />And then we haven't discussed the factual errors.<br /><br />I agree with a previous commentator that even though there are usually SOME redeeming features even of a bad movie. you'd be hard pressed to find any in this one. I suppose I gave it 2 out of 10 for some nice scenery shots, but that's it.<br /><br />It's been some time since a film made me groan, but this one certainly did.",negative
"It's a shame this movie is rated PG 13--it is really quite suitable for anyone--though young kids might not follow it too well.<br /><br />It belongs to that wonderful genre of serio-comic ghost/angel stories that would have to include everything from Capra's ""It's A Wonderful Life"" to Wenders's ""Wings of Desire."" <br /><br />The photography is stunning, the acting first rate, and--wonder of wonders--the tone is uplifting.<br /><br />My only criticism is that there is not much ambiguity in the film. The two interwoven stories seem intriguingly mysterious at first; but they resolve themselves a little too nicely for my taste. As the director points out in his commentary on the DVD, all the ingredients of Irwin's story are on his bedside table. The symbolism is just a trifle too pat for me.<br /><br />But what a lark! My favorite scene has to be when the relocation team tries to get breakfast at a diner. This is practically theatrical in its magic--a tour de force of witty acting--subtle, playful, and positively rhythmic--coupled with striking cinematography and an acute eye for the grotesque.<br /><br />""Northfork"" is funny, touching, gorgeous to look at, magical (with the above reservations) and has not one single car-chase.<br /><br />An easy nine stars.",positive
"A comparison between this movie and 'The Last Detail' is made by some, but 'Chasers' is flatter than a stretch of Interstate highway in west Texas. And like the scenery in the desert, there's nothing much to distinguish it, not even the fact that a female prisoner is being transported by two navy escorts this time around. No one in the cast comes off too well; with this lame script that's not surprising. Dennis Hopper, the director, won't give much space to this one if he ever writes a memoir, I don't think.",negative
"The movie that i am going to review is a little television movie made in 1996 and it starred Melissa Joan Hart and Daniel Baldwin.<br /><br />The main protagonist/antagonist Jennifer Stanton (Hart) is a typical all American teenager who is feeling the pressure of having such a controlling father (Baldwin). However, when she meets an ex con called Nick Ryan (Jeremy Jordan ""Never been kissed"") they instantly 'fall' for each other, but Jennifer has a different idea on where to take their relationship. she manipulates him to kill her parents, to protect their 'love' but she just used him to get rid of her parents so she can be with Brad (David Lascher future 'Sabrina' cast mate for Hart). Melissa Joan Hart actually really surprised me with her role as an evil manipulator and she carries the movie well by using her friends and Nick so she can literally get away with murder. The rest of the supporting cast work well and they each hold their own when they have screen time. I also found it interesting that this film was made and released the same year, Hart, began portrayed Sabrina, the Teenage Witch and this shows she can act in my genres of film and television.<br /><br />Although the film has dated somewhat it stills stands out as some of her best work that involves drama or thriller and i am looking forward to 'Nine Dead' that comes out in November because it shows she can seen as other people that are not called ""Clarissa Darling "" or Sabrina Spellman""<br /><br />I recommend this film to anyone that is a fan of Melissa Joan Hart or Sabrina. You can watch this on the internet, so i suggest check it out.",positive
"Bill Rebane's ""The Capture of Bigfoot"" is one of the most awful horror movies ever made.A greedy sawmill owner Harvey Olsen(Richard Kennedy)decides that he wants Bigfoot captured at all costs.However local game ranger Dave Garrett(Stafford Morgan)learns that the Bigfoot used to live in peace upset by a geological expedition,and sets out to protect the creature.There is nothing even remotely interesting in this piece of crap.The film is extremely dull and filled with horrible songs and cheap special effects.No gore,no suspense-just gigantic boredom.Avoid this horrible junk like the plague.",negative
"I saw one of the stage performances in Denver and have never been less impressed. The word ""vagina"" says it all. A body part. Nothing shocking here. I could say to my doctor, ""My left arm has been hurting a bit after tennis"" or ""My vagina hurts after cycling"" with equal or more social commentary. It could be the ""Tricep Monologues"" for all the entertainment or radical comment I heard. The monologues were dull but delivered with drama, the topics were outdated, and I was alternately bored and annoyed. Once I think I laughed but apparently it wasn't when I was supposed to. Surely this isn't really a hit. Oh, and spoilers: there was a LESBIAN! - oh, wait, maybe not, come to think of it. And Inappropriate Fondling! And a Crack Mama! That about covers it.",negative
"I wish I would have read more reviews and more opinions about this movie before I rented it. A waste of money. A waste of time. Very little dialog. The dialog was hard to understand in every way. The storyline and plot were both weak. The only thing that was nice at all was the cinematography.<br /><br />The characters were interesting. At the same time you will spend so much time trying to figure things out, because of the lack of dialog, that you will be rewinding the movie a lot. <br /><br />Do not watch this movie. It was a mess and will leave you feeling like a mess.<br /><br />You will say, what the heck was that, when the movie ends?",negative
"I don't see why all the people are giving this film negative reviews?!?! I loved this movie! Bled is a form of abstract art, and if you don't appreciate art, I can see why you would not like this film. It was a great twist from the average, played out vampire movie. If you are looking for a fresh, new and ingenious new vampire movie, then this is for you. But if you want one of those turn into bats, wolves and melt in the sunlight movies, then go watch your old played out Dracula flicks. Sure, it is a bit on the low budget side, but they did a great job with the budget they had. I'm very happy that I found this movie, because I was about to give up on the vampire genre fro good. I thought this film was brilliant! I give 2 thumbs up to the writer, director and everyone involved in the film.",positive
"Ya know, I have no idea how everybody else's teenage life was, but this does not reflect the folks I knew and hung around with let alone, myself. And just in case if you're wondering..NO..we weren't pristine/clean cut/Pat Boone type teens. (If there was ever such a thing!!!!)<br /><br />Look, I'm NOT saying being a teenager is easy. The better, well actually the BEST teen movie of this time is ""Fast Times at Ridgemont High"". Now those kids I knew and were as realistic as it got back then (and maybe now).<br /><br />This was crap. This was a low rent version of Fast Times and even then it didn't do much for me. It had a few moments, but not enough for me to recommend this, or even claim ""this is how it was for teens back in 1982"". I couldn't relate. The lead girl (girls) did nothing for me and please if they really wanted to keep their virginity, they would have, in which case, this film would not have been made. Pure crap and a bad staple to be left behind as a time-capsule cinema for teens/young adults in the early '80's.",negative
"OK, Chuck Norris has shown up in many an entertaining movie over the years. This is not one of them. I won't even bother trying to get into the plot about a Bible shipment gone wrong. The ""acting"" of the main characters is so wood like, Pinocchio would have done a better job! The synthesizer based soundtrack is even worse than the one in Deathstalker. Whereas traditionally low budget spooky movies are often trying to catch their audience by adding plenty of graphic violence, this one is trying to catch an audience by throwing religious mambo jumbo at the spectator. The plot boils down to different versions of the Bible.",negative
"This movie is not schlock, despite the lo fi production and its link to Troma productions. A dark fable for adults. Exploitation is a theme of Sugar Cookies, and one wonders if the cast has not fallen prey to said theme. A weird movie with enticing visuals: shadows and contrast are prominent. Definitely worth a look, especially from fans of Warhol and stylish decadence. Through all the cruelty and wickedness, a moral, albeit twisted, can be gleamed.",positive
